序号,Shape *,名称,方位,最近地铁站,直线距离,通行距离,步行时间（分钟）,骑行时间（分钟）,驾车（分钟）
177,点,万寿园小区,北177,五棵松地铁站,953.773053,1296.825857,21.61376428,4.322752857,1.589642103
178,点,万寿路8号院,北178,万寿路地铁站,596.543531,909.863925,15.16439875,3.03287975,0.837787955
179,点,万寿路8号院,北179,万寿路地铁站,659.444961,1102.804588,18.38007647,3.676015293,1.310295897
180,点,三街坊,西180,玉泉路地铁站,576.38954,607.41346,10.12355767,2.024711533,0.409911901
181,点,二街坊,东181,五棵松地铁站,967.611427,1365.631501,22.76052502,4.552105003,1.925783075
182,点,三街坊,东182,玉泉路地铁站,783.229677,1116.279791,18.60466318,3.720932637,1.114736853
183,点,二街坊,西183,玉泉路地铁站,807.933795,1144.429945,19.07383242,3.814766483,1.198049353
184,点,普惠南里,北184,公主坟地铁站,527.053357,768.07684,12.80128067,2.560256133,1.397769689
185,点,翠微南里社区,北185,万寿路地铁站,597.920395,760.726972,12.67878287,2.535756573,0.660026733
186,点,普惠南里,北186,公主坟地铁站,580.494154,882.304026,14.7050671,2.94101342,1.626231738
187,点,翠微南里社区,北187,万寿路地铁站,659.493794,909.052019,15.15086698,3.030173397,0.965778342
188,点,万寿路甲4号院,南188,万寿路地铁站,927.81245,1485.91978,24.76532967,4.953065933,1.781096189
189,点,永定路52号院,北189,五棵松地铁站,789.722856,1124.77454,18.74624233,3.749248467,2.920251131
190,点,万寿路六号院,南190,万寿路地铁站,842.363068,1361.135339,22.68558898,4.537117797,1.826976063
191,点,万寿路甲15号一区,南191,万寿路地铁站,614.265822,845.744705,14.09574508,2.819149017,0.830068366
192,点,万寿路15号院-2区,南192,万寿路地铁站,728.252574,1173.714447,19.56190745,3.91238149,1.452120812
193,点,翠微路甲24号院,南193,公主坟地铁站,673.903788,1001.500663,16.69167772,3.338335543,1.552894471
194,点,翠微路10号院,南194,公主坟地铁站,728.242065,1074.988055,17.91646758,3.583293517,1.405914607
195,点,普惠北里,南195,公主坟地铁站,647.844314,925.45246,15.42420767,3.084841533,1.70499595
196,点,普惠北里,东196,公主坟地铁站,565.680827,748.607955,12.47679925,2.49535985,1.464088359
197,点,晾果厂小区,北197,玉渊潭东门地铁站,612.472662,1138.689076,18.97815127,3.795630253,2.812948204
198,点,翠微路10号院,北198,公主坟地铁站,845.365613,1276.654813,21.27758022,4.255516043,1.284848818
199,点,平台村,北199,公主坟地铁站,792.117481,1390.428688,23.17381147,4.634762293,1.360700726
200,点,万寿路15号院-2区,北200,万寿路地铁站,820.139152,1402.094703,23.36824505,4.67364901,1.908897578
201,点,普惠北里,东201,公主坟地铁站,636.712662,823.791516,13.7298586,2.74597172,1.764833018
202,点,颐源居,西202,公主坟地铁站,856.055574,1310.218065,21.83696775,4.36739355,1.307224928
203,点,万寿路六号院,北203,万寿路地铁站,896.736405,1422.921224,23.71535373,4.743070747,1.950552161
204,点,万寿路15号院-2区,西204,万寿路地铁站,884.31209,1427.657442,23.7942907,4.75885814,1.960025066
205,点,中兴家园,东205,公主坟地铁站,647.435199,708.230526,11.8038421,2.36076842,1.068778979
206,点,万寿路15号院-6区,南206,万寿路地铁站,745.448449,791.937947,13.19896578,2.639793157,0.46401736
207,点,紫金长安,南207,五棵松地铁站,789.325688,1093.876002,18.2312667,3.64625334,1.617204161
208,点,紫金长安,东208,五棵松地铁站,946.757371,1412.584126,23.54306877,4.708613753,2.051980147
209,点,九街坊,东209,五棵松地铁站,754.004046,908.872429,15.14787382,3.029574763,1.213979193
210,点,万寿路15号院-3区,西210,万寿路地铁站,969.35368,1527.141463,25.45235772,5.090471543,2.15900041
211,点,永定路街道三街坊北社区,东211,玉泉路地铁站,999.53555,1381.789729,23.02982882,4.605965763,1.615080182
212,点,颐源居,西212,西钓鱼台地铁站,939.355472,1256.112465,20.93520775,4.18704155,1.485536811
213,点,万寿路15号,东213,万寿路地铁站,857.781738,903.665519,15.06109198,3.012218397,0.519883134
214,点,翠微西里,南214,西钓鱼台地铁站,838.269879,1076.648993,17.94414988,3.588829977,1.573883594
215,点,万寿路15号院-3区,西215,万寿路地铁站,1003.011933,1566.255123,26.10425205,5.22085041,2.237230627
216,点,紫金长安,西216,五棵松地铁站,868.606384,1117.354021,18.62256702,3.724513403,1.711119889
217,点,翠微西里,南217,西钓鱼台地铁站,841.62668,1150.954359,19.18257265,3.83651453,1.696319037
218,点,翠微西里,南218,西钓鱼台地铁站,831.265824,1026.280799,17.10467998,3.420935997,1.340156598
219,点,万寿路3号院,西219,五棵松地铁站,1153.362546,1568.329352,26.13882253,5.227764507,1.672130612
220,点,朱各庄12号院,南220,万寿路地铁站,1055.877107,1608.909097,26.81515162,5.363030323,2.322541441
221,点,万寿路15号院-3区,西221,万寿路地铁站,1070.494699,1643.408617,27.39014362,5.478028723,2.391543084
222,点,翠微西里,东222,西钓鱼台地铁站,794.326868,1072.678041,17.87796735,3.57559347,1.268354316
223,点,翠微西里,南223,西钓鱼台地铁站,749.48031,986.30841,16.4384735,3.2876947,1.397109362
224,点,万寿路3号院,西224,五棵松地铁站,1198.181405,1624.855669,27.08092782,5.416185563,1.709816235
225,点,朱各庄12号院,东225,万寿路地铁站,1110.883692,1672.004118,27.8667353,5.57334706,2.427889054
226,点,紫金长安,北226,五棵松地铁站,1014.611836,1248.783554,20.81305923,4.162611847,2.236857965
227,点,翠微西里,北227,西钓鱼台地铁站,710.362913,950.014361,15.83357268,3.166714537,1.186575801
228,点,朱各庄12号院,东228,西钓鱼台地铁站,1093.359955,1561.734013,26.02890022,5.205780043,2.411476552
229,点,万寿路15号院-3区,西229,西钓鱼台地铁站,1066.378239,1561.677458,26.02795763,5.205591527,2.411363219
230,点,万寿路朱各庄小区,东230,西钓鱼台地铁站,1083.122473,1547.609355,25.79348925,5.15869785,2.383226168
231,点,建西苑,南231,八角游乐园地铁站,1099.919124,1407.121412,23.45202353,4.690404707,0.764467355
232,点,颐源居,北232,西钓鱼台地铁站,906.881077,1394.312845,23.23854742,4.647709483,1.484091159
233,点,翠微西里,西233,西钓鱼台地铁站,690.357936,765.779641,12.76299402,2.552598803,1.074843585
234,点,翠微西里,北234,西钓鱼台地铁站,665.98102,894.553246,14.90922077,2.981844153,1.149600504
235,点,永定路街道三街坊北社区,东235,玉泉路地铁站,1182.306153,1589.125902,26.4854317,5.29708634,1.959072742
236,点,万寿路15号北院,北236,西钓鱼台地铁站,748.47876,789.401283,13.15668805,2.63133761,1.049758836
237,点,万寿路15号北院,北237,西钓鱼台地铁站,781.701957,789.401283,13.15668805,2.63133761,1.049758836
238,点,恒盛·欧洲公馆,北238,玉泉路地铁站,1114.519812,1443.690239,24.06150398,4.812300797,1.275932907
239,点,恒盛·欧洲公馆,北239,玉泉路地铁站,1181.946911,1679.07639,27.9846065,5.5969213,1.721564451
240,点,恒盛·欧洲公馆,北240,玉泉路地铁站,1098.565646,1344.909032,22.41515053,4.483030107,1.060518061
241,点,万寿路甲15号院,东241,西钓鱼台地铁站,697.766326,762.126499,12.70210832,2.540421663,1.036120972
242,点,恒盛·欧洲公馆,北242,玉泉路地铁站,1160.075093,1548.659413,25.81099022,5.162198043,1.485879474
243,点,紫金长安,北243,五棵松地铁站,1221.311136,1743.278285,29.05463808,5.810927617,2.318769145
244,点,九街坊,北244,五棵松地铁站,1065.336322,1225.378207,20.42297012,4.084594023,1.756105105
245,点,万寿路4号院,东245,西钓鱼台地铁站,1047.960286,1487.040096,24.7840016,4.95680032,2.262083046
246,点,万寿路朱各庄小区,东246,西钓鱼台地铁站,1047.960286,1487.040096,24.7840016,4.95680032,2.262083046
247,点,翠微西里,西247,西钓鱼台地铁站,628.604872,688.594043,11.47656738,2.295313477,1.141891914
248,点,玉海园,南248,玉泉路地铁站,1120.652168,1226.907204,20.4484534,4.08969068,0.829240708
249,点,金沟河路3号院,南249,五棵松地铁站,1156.585804,1554.237757,25.90396262,5.180792523,2.32059646
250,点,金沟河路5号院,南250,五棵松地铁站,1194.066527,1613.447823,26.89079705,5.37815941,2.492403409
251,点,金沟河路5号院,南251,五棵松地铁站,1229.155942,1703.214479,28.38690798,5.677381597,2.671943947
252,点,玉海园,南252,玉泉路地铁站,1168.321299,1479.361461,24.65602435,4.93120487,1.334169992
253,点,金沟河路15号院,西253,玉泉路地铁站,1390.671423,1924.587348,32.0764558,6.41529116,2.273783595
254,点,金沟河路17号院,南254,玉泉路地铁站,1362.406831,1870.589277,31.17648795,6.23529759,2.311194221
255,点,翠微西里,北255,西钓鱼台地铁站,582.364246,756.183012,12.6030502,2.52061004,1.07067096
256,点,金沟河路5号院,南256,五棵松地铁站,1294.034955,1827.970261,30.46617102,6.093234203,2.547826521
257,点,万寿路4号院,东257,西钓鱼台地铁站,1028.106536,1456.012709,24.26687848,4.853375697,2.200026333
